top_stories,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,1,0,20.606,0,0,1,1,0,0,0,0,0,0,0,0.1484735252027349,0.6260647843172886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0402460077686663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.2960590635388507,9.320407135854456,1109
1,0,0,0,17.936,0,0,0,0,0,0,1,0,0,0,0,0.0,0.6755742049469965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3244257950530035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.187683102652602,4.979997376485769,622
1,0,0,0,34.93,0,0,0,0,0,1,0,0,0,0,0,0.0,0.9001943214941164,0.067532117024722,0.0,0.0,0.0322735614811616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2730759200624188,7.303731509751082,731
1,1,1,0,47.017,0,0,0,0,0,1,0,0,0,0,0,0.0,0.7181636618806002,0.0675321170247219,0.0,0.1760498758501565,0.0,0.0,0.0,0.0,0.0382543452445211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.564858869036133,3.4803781795365967,731
1,0,0,0,26.776000000000003,0,0,1,1,1,1,0,0,0,0,0,0.0525456753169739,0.3611046790726571,0.0358512410696636,0.0,0.0,0.0,0.0,0.0319713099709146,0.0,0.3836331290768927,0.0996583175669952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.193106632974238,6.038460245042654,156
1,0,0,0,30.091,0,0,1,1,1,1,1,0,0,0,0,0.1168240876236086,0.3857922043368366,0.0116347390359628,0.0,0.0,0.0,0.0,0.0392831803467695,0.0,0.2785962928473239,0.1449215112411866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.81222476934926,9.84703819901819,149
1,0,0,0,10.299,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0330112632508833,0.0,0.0,0.0,0.0,0.5343584363957598,0.18007398409894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2525563162544169,0.0,0.0,0.0,0.0,1,0,1,1.535791372265802,11.201646195741043,1516
1,1,1,0,17.147000000000002,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6334253533568905,0.0,0.0,0.0,0.0,0.3665746466431094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.434928279981759,6.33763779071733,309
1,1,1,0,8.557,0,0,0,0,0,1,0,0,0,0,0,0.0,0.4533513692579506,0.0,0.0,0.0897471289752649,0.0,0.0,0.1800739840989399,0.0,0.2417789310954063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.561727668453453,6.806017083682099,1665
1,1,1,0,56.332,0,0,0,0,0,1,0,0,0,0,0,0.0,0.3244257950530035,0.0,0.0,0.4747515459363957,0.0,0.0,0.0330112632508833,0.0,0.0974271201413427,0.0,0.0,0.0312555212014134,0.0391287544169611,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.7053799725463312,7.462161520765314,1357
1,1,1,0,1.499,0,0,1,1,0,0,1,0,0,0,0,0.1229883535340159,0.5581939962502701,0.0,0.0,0.0,0.0,0.0871986450790021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1822243286380395,0.0,0.0,0.0493946764986722,0.0,0,0,0,5.703782474656201,9.122165773251853,632
1,1,1,0,8.248000000000001,0,0,1,1,0,0,1,0,0,0,0,0.1229883535340159,0.5581939962502701,0.0,0.0,0.0,0.0,0.0871986450790021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1822243286380395,0.0,0.0,0.0493946764986722,0.0,1,1,0,0.4047982191204607,4.542049326160363,632
1,0,0,0,8.818000000000003,0,0,0,0,0,1,0,0,0,0,0,0.0642667844522968,0.5334363957597174,0.0,0.0,0.0,0.0,0.0,0.0350485865724381,0.0,0.1480454946996466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.0819558403026086,8.008586437470207,1396
1,1,1,0,18.594,0,0,1,0,1,1,0,0,0,0,0,0.0914926355163428,0.5894332740997095,0.0293284150429228,0.0,0.0146667979131803,0.0,0.0,0.000300485439408,0.0,0.1691163137689682,0.0842136347858523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.9412760877579323,7.742240550446649,335
