shopping_ads,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_map_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,0,1,11.574000000000002,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5193050193050193,0.0,0.0,0.3981917860921422,0.0388917132689374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.957822700480771,6.288861774246333,1544
1,1,0,1,15.182,0,0,0,1,0,0,1,1,1,0,0,0,1,0.0,0.0,0.3449888021459391,0.4770222565257551,0.0,0.0,0.0,0.1116369111636911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261915908544531,0.0,0.0,0.0,0.0,0,0,0,0.7701082216960737,7.188174037315706,658
1,0,0,0,3.109,0,0,0,1,0,0,1,1,0,1,0,0,1,0.2216054247975214,0.0,0.556843507093548,0.1406954938305158,0.0,0.0,0.0,0.0384641517638745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423914225145402,0.0,0.0,0.0,0.0,0,0,0,0.5760514086836981,6.987368355916065,1587
1,1,1,0,6.783,0,0,1,1,0,0,0,1,1,1,0,0,0,8.685361908174021e-05,0.0,0.3189699160776909,0.0002117056965116,0.0,5.971186311869639e-05,0.0,7.599691669652268e-05,0.3312597031777563,0.0345405986385694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.9808292530117262,8.182650092811134,663
1,0,0,0,6.125,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0305570549498002,0.0223469718233833,0.0,0.8745762711864409,0.0,0.0,0.0,0.0,0.0,0.0382543452445211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,3.326653417041632,4.077028840012413,664
1,1,0,1,27.845,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0305570549498002,0.0223469718233833,0.0,0.8745762711864409,0.0,0.0,0.0,0.0,0.0,0.0382543452445211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.41549468636298,4.395547316903611,664
1,1,0,0,37.541,0,0,1,1,0,0,0,0,1,0,0,0,0,0.0385161135161133,0.0,0.0170214045214044,0.0,0.0,0.0,0.0,0.0,0.889339826839827,0.0551226551226551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,4.6389723993965575,11.397887787367432,1390
1,0,0,0,23.25500000000001,0,0,0,1,0,0,0,1,0,1,0,0,0,0.0130450454929646,0.0,0.1624881917168001,0.8244667627902352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.2889931394745786,8.871212993583681,1714
1,1,1,0,5.6370000000000005,0,0,1,1,1,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.276351103362848,0.0637128962701288,0.0,0.023741799330183,0.0120372069550854,0.0,0.0,0.0,0.0,0.0,0.0,0.6241569940817546,0.0,0.0,0.0,0.0,0.0,1,1,0,2.962123782380161,3.881687501632027,830
1,1,0,0,3.892,0,0,0,1,1,0,1,0,1,0,0,0,0,0.0,0.0393073650698569,0.3880763407045043,0.0302223553359178,0.4862698769252955,0.0,0.0,0.033161949450074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.922111940536687,4.68723853297603,882
