images,click,organic_click_3p,organic_click_1p,time_elapsed,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_ad,n_local_results,n_map_results,n_recipes,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,4.093,0,1,0,0,1,0,0,0,0,0.18521568271131,0.3193273970424549,0.0,0.0,0.0,0.0,0.3952479385775618,0.1002089816686732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.123099511019299,4.405169266176144,1287
1,1,1,0,32.866,0,0,0,0,0,0,0,0,0,0.0,0.0993153710247349,0.0,0.3706272084805654,0.0,0.0,0.0391287544169611,0.0,0.0,0.0,0.0690757508833922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.6849180370451635,10.43351064994152,938
1,1,0,1,6.223000000000001,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.8917954946996467,0.0,0.0,0.0,0.0,0.0690757508833922,0.0,0.0,0.0,0.0,0.0391287544169611,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.290333969973979,3.3786108829893595,958
1,1,1,0,26.138,0,1,0,0,0,0,0,0,0,0.057891185000091,0.0,0.0,0.0,0.0516260236744669,0.0,0.8527276706732085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.1887876825509154,11.4175769834324,959
1,0,0,0,21.59800000000001,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.6064984540636043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2134275618374558,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0678093795130648,5.843941439656722,976
1,0,0,0,300.0,1,1,0,0,1,0,0,0,0,0.495978956900455,0.0,0.0,0.0,0.0,0.0,0.0,0.1348720381190573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16328884672603,0.0,0.0684331946271101,0.0,0.0,0,0,0,3.56138693359866,11.09711808445984,349
1,0,0,0,12.177,0,0,0,0,0,0,0,0,0,0.0,0.0663041077738515,0.0974271201413427,0.0,0.0,0.0,0.1949701855123674,0.0,0.0,0.0,0.6412985865724383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.1246530536208303,6.857080740494087,1010
1,1,0,1,11.91,1,1,0,0,1,0,0,0,0,0.1021482034628276,0.0,0.3355156903947346,0.4278288152174543,0.0,0.0,0.0,0.0410248395070304,0.0,0.0,0.0607123630238089,0.0,0.0,0.0,0.0,0.0,0.0,0.0327700883941441,0.0,0.0,1,1,0,3.230290429683455,11.063527277933428,1016
1,0,0,0,12.635000000000002,1,0,0,0,1,0,0,0,0,0.0,0.0,0.5215602915194347,0.0,0.0,0.0,0.1443518109540636,0.0330112632508833,0.0,0.0,0.2698211130742049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.024985355883777,8.279387930613844,1720
1,0,0,0,1.0670000000000002,0,0,0,0,0,0,0,0,0,0.043443346492411,0.0766924944216952,0.715494201015129,0.0,0.0561998872079052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1081700708628595,0.0,0.0,0.0,0.0,0,0,0,2.630160729107504,2.9055340056358423,196
1,1,0,1,19.793000000000006,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0423835336632884,0.0,0.0406551967947206,0.0,0.0,0.0,0.0,0.0,0.0695950192473878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3.0023602598442123,3.7258620877114703,7
1,0,0,0,10.513,0,1,0,0,0,0,0,0,0,0.2761261023393357,0.0631462216824206,0.2153984263610919,0.0,0.0,0.0597877171674499,0.0,0.0,0.0,0.0,0.1321328615937054,0.0,0.0,0.0,0.0,0.1863653165760153,0.0,0.0,0.0,0.0670433542799808,0,0,0,1.4206957878372233,10.752750053181751,457
1,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2141746069155921,0.0,0.0477222989124945,0.6550957880206056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.0100503358535014,3.7990110699506174,1088
1,0,0,0,0.5740000000000001,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0484624867308153,0.0511848097798171,0.0,0.0,0.2792093278087868,0.1071037222203198,0.0,0.0,0.2238211827551963,0.0,0.0,0.0,0.2902184707050645,0.0,0.0,0.0,0.0,0.0,0,0,0,1.924394627020762,8.92757751365972,1088
1,0,0,0,300.0,0,1,0,0,1,0,0,0,0,0.0798682800616783,0.0,0.0,0.4082359807995538,0.0,0.0,0.2841300124576397,0.227765726681128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.1531004739521795,7.929062387305013,1088
1,0,0,0,300.0,0,0,0,0,0,1,0,0,0,0.2346162150491201,0.0,0.0342653567958544,0.0,0.101084961675483,0.0,0.0,0.0,0.0,0.0,0.0,0.3128576055273671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,3.5598806310018176,7.314462282285801,884
1,1,1,0,45.101000000000006,0,0,0,0,0,0,0,0,0,0.0,0.0993153710247349,0.0,0.0,0.0,0.0,0.644434628975265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1665028710247349,0.0,0.0,0.0,0.0,0.0,1,1,0,3.121880225542002,8.625590092586302,1101
1,0,0,0,18.435,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0786727373972288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9213272626027712,0,0,0,3.733542064020126,8.187744233731097,1103
1,1,1,0,11.878,0,0,0,0,0,0,0,0,0,0.0690757508833922,0.0,0.0,0.0,0.1949701855123674,0.5000828180212015,0.0,0.0,0.0,0.0721400176678444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312555212014134,0.0,0,0,0,2.757982569850419,8.3039541778275,1122
1,1,0,1,8.595,1,0,0,0,0,0,0,0,0,0.0500384785420725,0.1426980826224354,0.0,0.6013186405340059,0.0,0.0,0.0672801401601361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127208422707252,0.0,0.0,1,1,0,3.700239681684571,8.188784953185815,1255
1,1,1,0,13.778,0,0,0,0,0,0,0,0,0,0.0,0.0,0.138444125441696,0.5507011925795053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2.187174241482718,3.543969282318128,622
1,1,0,0,32.634,0,0,0,0,0,1,0,0,0,0.4980019980019981,0.052147852147852,0.3415952468584047,0.0,0.0110363320889635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972185709027814,0.0,0.0,1,0,0,1.7045662575256777,6.320717933270259,1158
1,1,1,0,7.877999999999999,1,0,0,0,1,0,0,0,0,0.3757522383678262,0.0883659235339845,0.3150839082146877,0.0,0.0307744997309066,0.0,0.1421302412055384,0.0478931889470564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-1.1086626245216111,6.964019348571019,642
1,1,1,0,43.517,1,1,0,0,0,0,0,0,0,0.0315761290934343,0.0395301231028385,0.0,0.0,0.0697843050853129,0.0,0.0,0.0,0.0,0.0,0.1969701195330235,0.0,0.0,0.0,0.0,0.0230922406724638,0.0,0.0354081023644445,0.0,0.0,0,0,0,2.1403014299365983,4.588278318317873,1172
1,1,1,0,33.474000000000004,0,1,0,0,1,0,0,0,0,0.0,0.1713623060356727,0.3512728477552599,0.0,0.0,0.0,0.0,0.1948865205146613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.9800601041596955,5.361972685277158,786
1,1,1,0,2.4530000000000003,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3499834363957597,0.3706272084805654,0.0,0.0,0.0,0.0,0.0,0.0330112632508833,0.0663041077738515,0.0,0.0,0.0,0.0,0.0,0.0,0.18007398409894,0.0,0.0,1,1,0,2.657808984665464,4.383163488210944,1183
1,1,1,0,2.732,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3499834363957597,0.3706272084805654,0.0,0.0,0.0,0.0,0.0,0.0330112632508833,0.0663041077738515,0.0,0.0,0.0,0.0,0.0,0.0,0.18007398409894,0.0,0.0,1,1,0,2.085299351163996,11.197972375698996,1183
1,0,0,0,30.397,0,0,0,0,0,0,0,0,0,0.1520482460221457,0.0369172792407182,0.5472224806922864,0.0,0.0,0.0,0.0,0.0,0.0329219782264818,0.0,0.1896750255885363,0.0,0.0,0.0,0.0,0.0412149902298315,0.0,0.0,0.0,0.0,1,1,0,2.475361236944469,6.289735978864019,1187
