scholarly_articles,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_map_results,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Finance and Banking,Sports,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,1,0,2.313,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3608936478273314,0.0,0.0,0.011779495036225,0.6273268571364435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.2435779124140134,4.35151587946886,1047
1,0,0,0,185.397,0,1,1,1,0,0,0,0,0,0,0,0.2497139465584865,0.0,0.0,0.0,0.0,0.5874099772992885,0.0,0.0,0.1282376048607667,0.0346384712814582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.6884339186605983,7.640013070480491,1612
1,0,0,0,120.763,0,0,0,0,0,0,0,0,0,0,0,0.3514412177480298,0.0305570549498002,0.1170193241930259,0.0,0.0,0.3128576055273669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1881247975817768,0.0,0.0,0.0,0.0,1,1,0,3.1730412885244017,6.6156701941488745,1050
1,1,1,0,1.211,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2193943646766705,0.0,0.0322735614811616,0.312857605527367,0.0,0.0,0.0,0.3171758609521753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305570549498002,1,1,0,3.19134017467368,4.227271605597732,1052
1,0,0,0,300.0,0,0,1,1,0,0,1,0,0,0,0,0.1231187861056703,0.0,0.3068393127215927,0.0370602236382118,0.0,0.3592591674311359,0.0,0.0775481615550541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096174348548335,0.0,0.0,1,0,1,3.433890425608673,9.37245837111212,1053
1,0,0,0,1.092,0,0,1,1,0,0,0,1,0,0,0,0.0433638660963954,0.0365842465627696,0.0,0.0,0.0,0.3934871597187805,0.0,0.0,0.3339452123526136,0.1672877238712361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.703782474656201,6.398075664962722,1720
1,1,1,0,38.018,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.933461081722984,0.0,0.0322735614811616,0.0342653567958544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.1142211440900228,8.140692728490741,1089
1,1,1,0,23.775,0,0,0,1,0,0,0,0,0,0,0,0.0,0.043960201967571,0.1445718113811456,0.0,0.037087349733894,0.6710955624201372,0.0,0.0,0.0,0.0776049226493977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.4051229996646275,4.894730493451645,1103
1,1,1,0,30.118,0,0,0,1,0,0,0,0,0,0,0,0.0,0.043960201967571,0.1445718113811456,0.0,0.037087349733894,0.6710955624201372,0.0,0.0,0.0,0.0776049226493977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.021400020302569,7.290114831125733,1103
1,1,1,0,35.947,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0367620630122617,0.1059907019497621,0.0,0.1540541973802832,0.607413692527974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.168634608431454,5.552009521351013,1103
1,1,1,0,13.263000000000002,0,0,0,0,0,0,0,0,0,0,0,0.0322735614811616,0.1906131922703227,0.0,0.0,0.0,0.3434146604771673,0.0,0.0,0.0725197020403756,0.0,0.0,0.0,0.0,0.0952499190327108,0.0,0.0,0.0,0.0,1,1,0,3.2772202018424443,3.548323446552449,1117
1,1,1,0,26.502,0,0,0,0,0,0,0,0,0,0,0,0.0322735614811616,0.1906131922703227,0.0,0.0,0.0,0.3434146604771673,0.0,0.0,0.0725197020403756,0.0,0.0,0.0,0.0,0.0952499190327108,0.0,0.0,0.0,0.0,1,1,0,3.073803808974146,4.419767888582226,1117
1,0,0,0,3.937,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6740364892583398,0.0,0.0,0.1465831803951203,0.1411259851020188,0.0,0.0,0.0,0.0,0.0,0.0382543452445212,0.0,0.0,1,0,0,3.2219909677683463,8.40142627203093,695
1,0,0,0,6.037999999999999,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0952499190327108,0.0,0.0,0.6988016841196156,0.0,0.0,0.0,0.2059483968476735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.425529033698241,7.526032350882255,1432
1,1,1,0,10.074,0,0,0,0,0,0,0,1,0,0,0,0.0,0.1983968476735398,0.0,0.0,0.0494872071683039,0.6855770268811402,0.0,0.0,0.0342653567958544,0.0322735614811616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.589233874849737,11.291456273632686,1168
1,1,0,1,3.843,0,0,0,0,0,0,0,1,0,0,0,0.0,0.1983968476735398,0.0,0.0,0.0494872071683039,0.6855770268811402,0.0,0.0,0.0342653567958544,0.0322735614811616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.3099578473234588,3.3418719155773404,1168
1,0,0,0,8.169,0,0,0,0,0,0,0,1,0,0,0,0.0,0.1983968476735398,0.0,0.0,0.0494872071683039,0.6855770268811402,0.0,0.0,0.0342653567958544,0.0322735614811616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.978377339192815,6.06502165327718,1168
1,0,0,0,12.392,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3595221258699618,0.0,0.0,0.3556204796109517,0.2591772426712321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2.5117919785693825,11.918126978340352,1089
1,1,1,0,8.725000000000001,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.3902028206381343,0.0,0.3251588354395028,0.2846383439223628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.487486652051388,2.9910714286717965,1171
1,1,1,0,15.423000000000002,0,1,0,1,0,0,0,0,0,0,0,0.0130199610455666,0.0,0.0,0.0,0.0,0.4359857084372325,0.043960201967571,0.0,0.1176634783579589,0.3893706501916708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.4204570135889347,5.981310670540791,1223
1,1,1,0,22.727,0,0,0,0,0,0,0,0,1,0,0,0.1948398529027161,0.0,0.0,0.0,0.0,0.4093051307916887,0.0,0.0,0.0710294141194177,0.3136225107947843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.0211501333027315,4.568672162947891,1228
1,1,1,0,7.5470000000000015,0,0,0,0,0,0,0,0,1,0,0,0.1948398529027161,0.0,0.0,0.0,0.0,0.4093051307916887,0.0,0.0,0.0710294141194177,0.3136225107947843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.414215909165231,4.553697928219129,1228
1,1,1,0,6.582000000000002,0,0,0,0,0,0,0,0,1,0,0,0.1948398529027161,0.0,0.0,0.0,0.0,0.4093051307916887,0.0,0.0,0.0710294141194177,0.3136225107947843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.123553644991876,4.297611883531518,1228
1,1,0,1,11.613,0,0,0,1,0,0,0,0,1,1,0,0.0,0.0,0.0515150786108671,0.0,0.0,0.655140681574864,0.0,0.0,0.2507187451131346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.4424383717379303,8.13604228284584,1253
1,0,0,0,10.005,0,0,0,0,0,0,0,0,0,0,0,0.0342653567958544,0.0,0.0675321170247219,0.0,0.092874878549066,0.7747705926805571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.7310525355051327,4.968270443318486,1328
1,1,1,0,9.264,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3128576055273671,0.0,0.0,0.0,0.0,0.0,0.0952499190327108,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0838370030859554,6.157883237643355,1328
1,0,0,0,6.9190000000000005,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6740364892583397,0.0,0.0,0.1465831803951202,0.1411259851020187,0.0,0.0,0.0,0.0,0.0,0.0382543452445211,0.0,0.0,0,0,0,2.375463738406618,6.721649772070341,695
1,1,1,0,14.899,0,0,0,0,0,0,0,0,0,0,0,0.1411259851020188,0.0,0.0,0.0,0.0,0.7923350966209652,0.0,0.0,0.0,0.066538918277016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.361556034333373,5.6733060848932935,1328
1,1,1,0,19.23,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9433876713807624,0.0,0.0,0.0223469718233833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.227042387534594,8.516805316202372,1373
1,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,1,0.3174662668665667,0.0,0.0410225921521996,0.0,0.2669570387220182,0.3745541022592154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.7611284256745328,3.966208114486226,1385
1,0,0,0,7.5870000000000015,0,1,0,0,0,0,0,0,0,0,0,0.0322735614811616,0.0494872071683039,0.0,0.0,0.0,0.8283601425024291,0.067532117024722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.924686512603687,2.960830221544726,1399
1,1,1,0,3.85,0,0,1,0,0,0,0,0,0,0,0,0.1884513347262761,0.0337496211939964,0.0,0.0618849386733017,0.0376785704791829,0.6782355349272428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.1049256507247018,1.9910200800789328,1399
1,0,0,0,6.285,0,1,0,1,0,0,0,0,0,0,0,0.0393762328333766,0.0776049226493976,0.0,0.0,0.0,0.5887267855149058,0.0,0.0,0.0351148163310878,0.2591772426712321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-1.8325814637483104,6.277477727734177,1399
